_obj ID,_obj type,_county,_estate,_latitude,_longitude,_accuracy,_distance from Daugava,_spelling,_language,_standardized,DELETE,_source,_match factor,_comment,_etymology,_alternative etymology,_inherited,_reliability,_source language,_attestation,_meaning,_category,_name,_period,_source text,_editor
abelu kapi,cemetery,356 ābeļi,unclear,"56,4709","25,9120",0,no,obeļu kopi,latvian,no,,LĢIA 77072,n/a,no comment,"dial. for pl.tant. ābeļu kapi 'Ābeļi cemetery' | Syntagm of gen. of pl.tant. top. Ābeļi and nom.pl. of kaps 'grave; (pl.) cemetery.' Ābeļi is the nom.pl. of surname Ābelis (LUV), a Motionsmaskulinum to âbele 'apple tree,' cf. also Lt. Obelis (LPDB) HG Apfelbaum (DFD). Dial. variant probably a surname, too. | LPV 39; LVV 1, 61 s.v. âbele.",no comment,inherited,reliable,original word,latvian,apple tree,fruits,possibly,modern,no comment,aigars
abelu muiza,estate,356 ābeļi,unclear,"56,4776","25,9181",100,no,âbeļu muiža,latvian,yes,,"E 1925, 63; LVV 1, 61; AŠĢTD 68",high,no comment,"syntagm of gen. of pl.tant. top. Ābeļi and muĩža 'estate,' i.e., 'Ābeļi estate.' Top. Ābeļi is the nom.pl. of Ābelis, Motionsmasculinum to âbele 'apple tree.' Only exists as a personal or surname, cf. Lt. Obelis (LPDB) HG Apfelbaum (DFD). LPV 39; LVV 1, 61 s.v. âbele.",no comment,inherited,reliable,original word,latvian,apple tree,fruits,yes,modern,no comment,aigars
abelu muiza,estate,356 ābeļi,unclear,"56,4776","25,9181",n/a,no,āobeļu mùiža,latvian,no,,"Plāķis 2, 348",high,no comment,"dial. for ābeļu muiža, syntagm of gen. of pl.tant. top. Ābeļi and muĩža 'estate,' i.e., 'Ābeļi estate.' Top. Ābeļi is the nom.pl. of Ābelis, Motionsmasculinum to âbele 'apple tree.' Probably a personal or surname, cf. Lt. Obelis (LPDB) HG Apfelbaum (DFD). LPV 39; LVV 1, 61 s.v. âbele.",no comment,inherited,reliable,original word,latvian,apple tree,fruits,possibly,modern,no comment,aigars
abelu salas,island,356 ābeļi,unclear,"56,4696","25,9419",0,no,ābeļu salas,latvian,unclear,,LĢIA 77068,n/a,no comment,"syntagm of gen. of pl.tant. top. Ābeļi and nom.-acc.pl. of sala 'island; hillock in marsh,' i.e., 'Ābeļi islands.' Top. Ābeļi is the nom.pl. of Ābelis, Motionsmasculinum to âbele 'apple tree.' Only exists as a personal or surname, cf. Lt. Obelis (LPDB) HG Apfelbaum (DFD). LPV 39; LVV 1, 61 s.v. âbele.",no comment,inherited,reliable,original word,latvian,apple tree,fruits,yes,modern,no comment,aigars
abelziedi,house,452 naujene,unclear,"55,9323","26,6778",0,no,ābeļziedi,latvian,unclear,,LĢIA 126482,n/a,no comment,"nom.pl. of ābeļzieds, compound of âbele 'apple tree' and ziêds 'blossom.' AK.",no comment,inherited,reliable,original word,latvian,apple blossom,botany; fruits,no,modern,no comment,aigars
abelziedu majas,house,444 nīcgale (part of 450 līksna until 1936),unclear,"56,0683","26,3715",0,no,ābeļziedu mājas,latvian,unclear,,LĢIA 130796,n/a,no comment,syntagm of gen.pl. of âbeļziêds 'apple blossom' (a compound of âbele 'apple tree' and ziêds 'blossom') and nom.-acc.pl. of mãja 'house.' AK.,no comment,inherited,reliable,original word,latvian,apple blossom,botany; fruits,no,modern,no comment,aigars
abuoldarzi,house,452 naujene,unclear,"55,9165","26,6504",0,no,āboldārzi,latvian,unclear,,LĢIA 131509,n/a,no comment,"nom.pl. of âbuõldā̀rzs, compound of âbuõls 'apple' and dā̀rzs 'garden.' AK.",no comment,inherited,reliable,original word,latvian,apple garden,fruits; horticulture,no,modern,no comment,aigars
abuolini 1,house,spilve,unclear,"56,9858","24,0854",200,no,aboliņi,latvian,unclear,,RP 1925; RP 1929,high,no comment,"nom.pl. of ābuoliņš 'clover.' Inherited as iņš-derivation to âbuõls 'apple' but contaminated with *dāˀbilas vel sim., cf. Lt dóbilas 'clover.' Similarly OPr wobilis 'clover' with w- from woble 'apple.' Also a surname, probably referring to someone living on or near a clover field, cf. Lt. Dóbilas (LPDB) HG Klee (DFD). ALEW s.v. dóbilas; Derksen 2015, 339; LEW 99 s.v. dóbilas; ME 1, 234; 1, 446 s.v. dâbuols; SEJL 223 s.v. dobilaĩ.",might be a surname in the sense 'apple grower.',inherited,reliable,original word,latvian,clover,herbaceous plants,yes,modern,no comment,aigars
abuolini 2,house,344 Jumprava (Jumprava),,"56,6643","24,9221",n/a,no,ābuoliņi,latvian,yes,,"E 1922, 42; LVV 1, 63",high,no comment,"nom.pl. of ābuoliņš 'clover.' Inherited as iņš-derivation to âbuõls 'apple' but contaminated with *dāˀbilas vel sim., cf. Lt dóbilas 'clover.' Similarly OPr wobilis 'clover' with w- from woble 'apple.' Also a surname, probably referring to someone living on or near a clover field, cf. Lt. Dóbilas (LPDB) HG Klee (DFD). ALEW s.v. dóbilas; Derksen 2015, 339; LEW 99 s.v. dóbilas; ME 1, 234; 1, 446 s.v. dâbuols; SEJL 223 s.v. dobilaĩ.",might be a surname in the sense 'apple grower.',inherited,reliable,original word,latvian,clover,herbaceous plants,yes,modern,no comment,aigars
abuolini 2,house,344 Jumprava (Jumprava),,"56,6643","24,9221",,no,Sausēju-Āboliņi,latvian,unclear,,AŠĢTD 49,high,no comment,"syntagm of gen. of top. pl.tant. Sausēji and nom. of top. pl.tant.  ābuoliņš 'clover,' i.e., 'Ābuoliņi-by-Sausēji.' The first element is nom.pl. of sausējs 'fly honeysuckle (lonicera xylosteum); skinny person,' ējs-derivation to sàuss 'dry' (LVV2 S1 248; ME 3, 775). The second element is nom.pl. of ābuoliņš 'clover' which is inherited as a dim. to âbuõls 'apple' but contaminated with *dāˀbilas 'clover,' cf. Lt. dóbilas 'clover.' Similarly OPr. wobilis 'clover' with w- from woble 'apple.' Also a surname, probably referring to someone living on or near a clover field, cf. Lt. Dóbilas (LPDB) HG Klee (DFD) (ALEW s.v. dóbilas; Derksen 2015, 339; LEW 99 s.v. dóbilas; ME 1, 234; 1, 446 s.v. dâbuols; SEJL 223 s.v. dobilaĩ).",no comment,inherited,reliable,original word,latvian,fly honeysuckle; clover,herbaceous plants; trees and shrubs,yes,modern,no comment,aigars
abuolites,house,452 naujene,unclear,"55,9271","26,6793",0,no,ābolītes,latvian,unclear,,LĢIA 126485,n/a,no comment,"nom.-acc.pl. of âbuõlīte, īte-derivation to âbuõls 'apple.' Hardly dim. due to the gender shift. Rather Motionsfemininum to surname Âbuõlītis in the sense 'apple grower' or (perhaps more likely) adjective with the feminine plural substantivized as a noun of place, i.e., 'apple garden.' Âbuõls is inherited as an l-stem but transferred to o- or ii̯o-stem class in both Lv. and Lt., cf. Lv. dial. âbuolis, Lt. óbuolas obuolỹs a.o. Elsewhere in BS a k-suffix is present, cf. OPr. wobelke OCS ablъko etc. In order to account for the variety of attested suffixal ablaut grades in the cognates to both âbuõls 'apple' and âbele 'apple tree' which are considered to have arisen from one lexeme, a holokinetic paradigm is usually reconstructed, i.e., PIE nom.sg. *ábōl gen.sg. *abéls inst.sg. *ablóh1 or nom.sg. *h2ébōl acc.sg. *h2bélm gen.sg. *h2blós vel sim. ALEW s.v. obelìs; Derksen 2015, 339 s.v. obuolys; LEW 515 s.v. obelìs; ME 1, 235; SEJL 831.","nom.-acc.pl. of âbuõlīte, dim. to ābuole, dial. for âbele 'apple tree;' an otherwise unattested ē-stem variant of dial. âbuõlĩtis 'clover' (ME 1, 234 s.v. âbuõliņš).",inherited,possible,original word,latvian,apple,fruits,yes,modern,no comment,aigars
abuoltini,house,436 līvāni,unclear,"56,2255","26,2165",0,no,āboltiņi,latvian,unclear,,LĢIA 130283,n/a,no comment,"nom.pl. of âbuõltiņš, synchronically D to âbuõls 'apple.' Also a FN (LUV), cf. also Lt. Obeliẽnis (LPDB) HG Appelman (DFD). | Inherited as an l-stem but transferred to o- or ii̯o-class in East Baltic, cf. Lv. dial. âbuolis, Lt. óbuolas obuolỹs a.o. Elsewhere in BS a k-suffix is present, cf. OPr. wobelke OCS ablъko etc. In order to account for the variety of attested suffixal ablaut grades in the cognates to both âbuõls 'apple' and âbele 'apple tree' which are considered to have arisen from one lexeme, a holokinetic paradigm is usually reconstructed, i.e., PIE nom.sg. *ábōl gen.sg. *abéls inst.sg. *ablóh1 or nom.sg. *h2ébōl acc.sg. *h2bélm gen.sg. *h2blós vel sim. | ALEW s.v. obelìs; Derksen 2015, 339 s.v. obuolys; LEW 515 s.v. obelìs; ME 1, 235; SEJL 831.",no comment,inherited,reliable,original word,latvian,apple,fruits,yes,modern,no comment,aigars
acalijas,house,455 svente,unclear,"55,9575","26,3927",0,no,acālijas,latvian,unclear,,LĢIA 126040,n/a,no comment,"nom.-acc.pl. of acālija 'azalea.' Ultimately from Gr. ἀζαλέᾱ 'dry, parched' via Lat. azalea 'azalea' and probably also HG Azalea 'id.' AK.",no comment,borrowed,reliable,ancient greek,latvian,azalea,trees and shrubs,no,modern,no comment,aigars
aciskas,house,507 skaista (izabelinas until 1925),unclear,"55,8691","27,3026",n/a,no,aciškas,latvian,partly,,"E 1925, 165; LVV 1, 4",high,no comment,"partly standardized var. of *acišķas (should be -ys or -is), nom.-acc.pl. of *acišķa, Motionsfemininum to *acišķis 'well builder; well dweller.' Probably an old surname, cf. HG Brunnbauer Brunnengräber a.o. (DFD). Might also be a pl.tant. in the sense 'well digger's house; well place.' | išķa-derivation to aka 'water well,' cf. Lt. ãkas~akà 'hole in the ice' OCS oko 'eye' Gr. ὀπή 'opening, hole.' | ALEW sub akìs; Derksen 2015, 46; LEW 5 sub akìs; ME 1, 62.","to acs 'eye' (LVV 1, 4).",inherited,reliable,original word,latvian,water well digger's house,infrastructure,no,modern,no comment,aigars
aciskas,house,507 skaista (izabelinas until 1925),unclear,"55,8691","27,3026",200,no,aciški,latvian,unclear,,AŠĢTD 97,high,no comment,"dial. or latg. for *acišķi, nom.pl. of *acišķis 'well builder; well dweller.' Probably an old surname, cf. HG Brunnbauer Brunnengräber a.o. (DFD). | išķis-derivation to aka 'water well,' cf. Lt. ãkas~akà 'hole in the ice' OCS oko 'eye' Gr. ὀπή 'opening, hole.' | ALEW sub akìs; Derksen 2015, 46; LEW 5 sub akìs; ME 1, 62.","to acs 'eye' (LVV 1, 4).",inherited,reliable,original word,latvian,water well digger,infrastructure,possibly,modern,no comment,aigars
adami 1,house,221 Ogresgals (est. 1924; estate 221 Sprēstiņi),,"56,7736","24,6743",,no,ãdami,latvian,yes,,"AŠĢTD 48; E 1922, 39; LVV 1, 63",high,Dižozoli in LĢIA,"nom.pl. of PN Ãdams 'Adam.' Ultimately from BHe ādām 'man, earthling' via Gr. Ἀδάμ, Lat Ādām and probably also MLG, cf. also Lt Adamas Adomas. LVV 1, 63; LPV 40.",no comment,borrowed,reliable,biblical hebrew,latvian,Adam,foreign names (aramaic and hebrew),yes,modern,no comment,aigars
adami 2,house,509 kaplava (borna~borne until 1925),unclear,"55,8193","27,3390",0,no,ādami,latvian,yes,,LĢIA 65324,n/a,no comment,"nom.pl. of pers. name Ãdams 'Adam.' Ultimately from BHe ādām 'man, earthling' via Gr. Ἀδάμ, Lat Ādām and probably also MLG, cf. also Lt Adamas Adomas. LVV 1, 63; LPV 40.",no comment,borrowed,reliable,biblical hebrew,latvian,Adam,foreign names (aramaic and hebrew),yes,modern,no comment,aigars
adamova 1,house,457 skrudaliena,unclear,"55,8726","26,7190",0,no,adamova,latvian,unclear,,AŠĢTD 88; LĢIA 131612,high,no comment,"adamova 'Adam's (place).' Also a FN (LUV). | borrowed from Ru. TN adámovo, nom.-acc.sg.neut. to adámov 'Adam's,' itself an ov-derivation to PN Adám 'Adam.' Ultimately from BHe ādām 'man, earthling' probably via Gr. Ἀδάμ. | LVV 1, 4 s.v. adama-muiža; LPV 40 s.v. Ādams.",← Ru. nom.sg.fem. adámova; ← Po. adamowo.,borrowed,reliable,russian,latvian,of Adam,foreign names (aramaic and hebrew),yes,modern,no comment,aigars
adamova 1,house,457 skrudaliena,unclear,"55,8726","26,7190",0,no,adamovo,russian,unclear,,LĢIA 131612,high,earlier (LĢIA),"nom.-acc.sg.neut. of adámov 'Adam's,' ov-derivation to Adám 'Adam' in the sense 'Adam's place.' Ultimately from BHe ādām 'man, earthling' probably via Gr. Ἀδάμ. LVV 1, 4 s.v. adama-muiža; LPV 40 s.v. Ādams.",a transliteration of Po adamowo; borrowed from Po adamowo.,inherited,reliable,original word,east slavic,Adam,foreign names (aramaic and hebrew),yes,modern,no comment,aigars
adamova 1,house,457 skrudaliena,unclear,"55,8726","26,7190",n/a,no,adamava,latvian,yes,,"LVV 1, 4; Plāķis 2, 307",high,not used in Latvian (Plāķis),"borrowed from Ru adámovo (top.) with transfer to ā-stems. Ru adámovo is the nom.-acc.sg.neut. to adámov 'Adam's,' an ov-derivation to Adám 'Adam' in the sense 'Adam's place.' Ultimately from BHe ādām 'man, earthling' probably via Gr. Ἀδάμ. LVV 1, 4 s.v. adama-muiža; LPV 40 s.v. Ādams.",borrowing of the corresponding nom.sg.fem.; borrowed from Po adamowo or BRu adámava (nom.-acc.sg.neut.); transliteration of BRu nom.-acc.sg.neut. adámava.,borrowed,reliable,russian,latvian,Adam,foreign names (aramaic and hebrew),yes,modern,no comment,aigars
adamova 2,village,506 krāslava,unclear,"55,8960","27,1225",0,no,adamova,latvian,unclear,,LĢIA 4132,n/a,no comment,"adamova 'Adam's (place).' Also a FN (LUV). | borrowed from Ru. TN adámovo, nom.-acc.sg.neut. to adámov 'Adam's,' itself an ov-derivation to PN Adám 'Adam.' Ultimately from BHe ādām 'man, earthling' probably via Gr. Ἀδάμ. | LVV 1, 4 s.v. adama-muiža; LPV 40 s.v. Ādams.",← Ru. nom.sg.fem. adámova; ← Po. adamowo.,borrowed,reliable,russian,latvian,of Adam,foreign names (aramaic and hebrew),yes,modern,no comment,aigars
adamovas krauja,cliff,506 krāslava,unclear,"55,8869","27,1230",0,no,adamovas krauja,latvian,yes,,LĢIA 66860,n/a,no comment,"Adamova cliff.' | Syntagm of gen.sg. of top. Adamova and kràuja 'cliff.' Adamova is borrowed from Ru. top. Adámovo and transferred to the ā-stems. Ru. Adámovo is the nom.-acc.sg.neut. to Adámov 'Adam's,' ov-derivation to Adám 'Adam' in the sense 'Adam's place.' Ultimately borrowed from BHe. ādām 'man, earthling' probably via Gr. Ἀδάμ. | LVV 1, 4 s.v. adama-muiža; LPV 40 s.v. Ādams.",no comment,inherited,reliable,original word,latvian,Adam,foreign names (aramaic and hebrew),yes,modern,no comment,aigars
adamovas mezs,forest,506 krāslava,unclear,"55,8878","27,1068",0,no,adamovas mežs,latvian,yes,,LĢIA 68352,n/a,no comment,"Adamova forest.' | Syntagm of gen.sg. of top. Adamova and mežs 'forest.' Adamova is borrowed from Ru. top. Adámovo and transferred to the ā-stems. Ru. Adámovo is the nom.-acc.sg.neut. to Adámov 'Adam's,' ov-derivation to Adám 'Adam' in the sense 'Adam's place.' Ultimately borrowed from BHe. ādām 'man, earthling' probably via Gr. Ἀδάμ. | LVV 1, 4 s.v. adama-muiža; LPV 40 s.v. Ādams.",no comment,inherited,reliable,original word,latvian,Adam,foreign names (aramaic and hebrew),yes,modern,no comment,aigars
adamovo,estate,506 krāslava,unclear,"55,8896","27,1214",200,no,adamovo,russian,unclear,,AŠĢTD 97,high,no comment,"nom.-acc.sg.neut. of adámov 'Adam's,' ov-derivation to Adám 'Adam' in the sense 'Adam's place.' Ultimately borrowed from BHe. ādām 'man, earthling' probably via Gr. Ἀδάμ. | LVV 1, 4 s.v. adama-muiža; LPV 40 s.v. Ādams.",transliteration of Po adamowo; borrowed from Po adamowo.,inherited,reliable,original word,slavic,Adam,foreign names (aramaic and hebrew),yes,modern,no comment,aigars
adamovo,farm estate,506 krāslava,unclear,"55,8896","27,1214",n/a,no,адамово,russian,unclear,,"LVV 1, 4",high,no comment,"nom.-acc.sg.neut. of adámov 'Adam's,' ov-derivation to Adám 'Adam' in the sense 'Adam's place.' Ultimately borrowed from BHe. ādām 'man, earthling' probably via Gr. Ἀδάμ. | LVV 1, 4 s.v. adama-muiža; LPV 40 s.v. Ādams.",no comment,inherited,reliable,original word,russian,Adam,foreign names (aramaic and hebrew),yes,modern,no comment,aigars
adamovo,house,506 krāslava,unclear,"55,8893","27,1244",0,no,mežrozes,latvian,unclear,,LĢIA 131973,high,no comment,nom.-acc.pl. of mežruõze 'dog rose (rosa canina)' | Compound of mežs 'forest' and ruõze 'rose.' | AK.,no comment,inherited,reliable,original word,latvian,dog rose,trees and shrubs,no,modern,no comment,aigars
aderes,house,450 līksna,unclear,"56,0351","26,3702",0,no,āderes,latvian,unclear,,LĢIA 131166,n/a,no comment,"nom.-acc.pl. of ãdere 'blood vessel, artery, vein; sinew; earth-radition (geopathology),' borrowed from MLG āder(e) 'blood vessel, artery, vein; sinew,' cf. also Est āder 'id.' ME 1, 236.",no comment,borrowed,reliable,middle low german,latvian,earth-radiation (geopathology),other,no,modern,no comment,aigars
admani,house,356 ābeļi,unclear,"56,5258","25,7918",n/a,no,âdmāni,latvian,unclear,,"E 1925, 62; LVV 1, 64",high,no comment,"allegro shortening of âdmināni, dial. or partly standardized var. of âdminȩ̃ni, nom.pl. of *âdminȩ̃ns 'member of the tanner's household, tanner's.' Probably a patronymic surname, cf. Po Garbarek (ISNP) HG Gerbers (DFD). | ȩ̃ns-derivation to âdminis 'tanner.' | LVV 1, 64.",no comment,inherited,reliable,original word,latvian,tanner's,trade and artisanship,possibly,modern,no comment,aigars
admani,house,356 ābeļi,unclear,"56,5258","25,7918",0,no,ādmināni,latvian,unclear,,"E 1925, 62; LVV 1, 64; LĢIA 50504; Plāķis 2, 349",high,no comment,"dial. or partly standardized var. of âdminȩ̃ni, nom.pl. of *âdminȩ̃ns 'member of the tanner's household, tanner's.' Probably a patronymic surname, cf. Po Garbarek (ISNP) HG Gerbers (DFD). | ȩ̃ns-derivation to âdminis 'tanner.' | LVV 1, 64.",no comment,inherited,reliable,original word,latvian,tanner's,trade and artisanship,possibly,modern,no comment,aigars
admani,house,356 ābeļi,unclear,"56,5258","25,7918",100,no,admiņani,latvian,unclear,,AŠĢTD 67,high,no comment,"dial. or partly standardized var. of âdminȩ̃ni (lack of vowel length is quite common in AŠĢTD but ņ is unclear—could be contamination with âdmiņi as if derived from plural stem, or pure error), nom.pl. of *âdminȩ̃ns 'member of the tanner's household, tanner's.' Probably a patronymic surname, cf. Po Garbarek (ISNP) HG Gerbers (DFD). | ȩ̃ns-derivation to âdminis 'tanner.' | LVV 1, 64.",no comment,inherited,reliable,original word,latvian,tanner's,trade and artisanship,possibly,modern,no comment,aigars
adminani,village,356 ābeļi,unclear,"56,5248","25,7916",0,no,ādmināni,latvian,unclear,,LĢIA 65955,n/a,no comment,"dialectal or partly standardized variant of âdminȩ̃ni (less likely of âdmināni), nom.pl. of âdminȩ̃ns, ȩ̃ns-derivation to âdminis 'tanner.' Possibly a patronymic surname in the sense 'member of the tanner's household, tanner's,' cf. HG Gerbers (DFD) Po Garbarek (ISNP). LVV 1, 64.",no comment,inherited,reliable,original word,latvian,tanner's,trade and artisanship,possibly,modern,no comment,aigars
admines,house,348 pļaviņas,pļaviņas,"56,5928","25,5450",0,no,âdmines,latvian,yes,,"AŠĢTD 67; E 1922, 61; LĢIA 45572",high,no comment,,,,,,,,,,,,
admini,house,216 ikšķile,ikšķiles māc. muiža,"56,8420","24,4714",,no,ādmiņi,latvian,unclear,,"E 1922, 39; LĢIA 35212; LVV 1, 65",high,no comment,"nom.pl. of âdminis 'tanner,' compound of âda 'skin' and mĩt 'step, tread,' cf. Lt. odaminỹs~odminỹs 'id.' Also a surname, cf. Lt. Ódminis (LPDB) Po. Garbarz (ISNP) HG Gerber (DFD). LEW 454 s.v. mìnti; 515 s.v. óda; ME 1, 236; SEJL 832 s.v. óda.",no comment,inherited,reliable,original word,east baltic,tanner,trade and artisanship,yes,modern,no comment,aigars
aidas 1,house,215 salaspils,unclear,"56,8459","24,3989",,no,aĩdas,latvian,yes,,"E 1922, 58; AŠĢTD 39; LVV 1, 6",medium,two matches in AŠĢTD,"nom.-acc.pl. of aĩda 'garden, fence.' Borrowed from Est aed 'garden, fence.' LVV 1, 6.","less likely to Lt áidas 'echo, noise.'",borrowed,possible,estonian,latvian,garden,horticulture,no,modern,no comment,aigars
aidas 2,house,215 salaspils,unclear,"56,8404","24,4048",,no,aĩdas,latvian,yes,,"E 1922, 58; AŠĢTD 39; LVV 1, 6",medium,two matches in AŠĢTD,"nom.-acc.pl. of aĩda 'garden, fence.' Borrowed from Est aed 'garden, fence.' LVV 1, 6.","less likely to Lt áidas 'echo, noise.'",borrowed,possible,estonian,latvian,garden,horticulture,no,modern,no comment,aigars
